,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3760,2205290,流光易逝的夏末 - Fleeting Summer's End,柚原堂,柚原堂,,212,1,0,"0 .. 20,000",0,0,0,0,299,299,0,1
3761,2139300,Redemption Reapers,Adglobe,Binary Haze Interactive,,215,89,0,"0 .. 20,000",0,0,0,0,2499,2499,0,13
3762,939790,Royal Alchemist,Nifty Visuals,Nifty Productions,,247,14,0,"0 .. 20,000",0,0,0,0,1999,1999,0,8
3763,1507720,Märchen Forest,PrimaryOrbit,Clouded Leopard Entertainment,,252,56,0,"0 .. 20,000",0,0,0,0,3499,3499,0,5
3764,1823930,Wavetale,Thunderful Development,Thunderful Publishing,,264,27,0,"0 .. 20,000",0,0,0,0,2999,2999,0,2
3765,1174640,Arcadia Fallen,Galdra Studios,Galdra Studios,,265,9,0,"0 .. 20,000",0,0,0,0,2499,2499,0,0
3766,1782150,OVERLORD: ESCAPE FROM NAZARICK,ENGINES Inc.,KADOKAWA CORPORATION,,295,150,0,"0 .. 20,000",0,0,0,0,2999,2999,0,1
3767,907760,ARIDA: Backland's Awakening,Aoca Game Lab,Aoca Game Lab,,533,83,0,"0 .. 20,000",0,0,0,0,850,850,0,1
3768,1812340,Enigmarella,Metal Dragon Studio,Metal Dragon Studio,,15,3,0,"0 .. 20,000",0,0,0,0,2499,2499,0,0
3769,2342210,GENIE,Tonguç Bodur,Tonguç Bodur,,17,5,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3770,847950,Yakuza Kiss,Pink Potion,Pink Potion,,34,9,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3771,2149660,Personal Chef to the Stars,Double Peach Productions,Little Black Book Entertainment,,4,2,0,"0 .. 20,000",0,0,0,0,899,899,0,0
3772,1836230,Evening Ecchi,玫瑰工作室,Rosa Special Studio,,7,7,0,"0 .. 20,000",0,0,0,0,199,199,0,0
3773,1469700,Playing Pride & Prejudice 1: An Austen Armoire,MInerva Interactive,Minerva Interactive,,4,0,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
3774,1906890,Jump Like An Egyptian,Tamashii,Tamashii,,1,0,0,"0 .. 20,000",0,0,0,0,77,199,61,0
3775,2340810,Assassins of Darkness,Silver Cloud Games,Silver Cloud Games,,1,0,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
3776,1629570,Spacegirl 2038,Borsuk Software,Borsuk Software,,1,1,0,"0 .. 20,000",0,0,0,0,799,799,0,0
3777,993400,Finding summer,Vadd games,Conglomerate 5,,9,13,0,"0 .. 20,000",0,0,0,0,49,99,51,0
3778,2467280,人偶工坊,橙光游戏,橙光游戏,,5,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3779,1378870,In the House of Silence,Kai Ruma Games,Kai Ruma Games,,7,3,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
3780,754300,Metal Quest,"Operation Constellation, Valentina Baker",Operation Constellation,,6,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3781,1605120,Kate Kite,"DY STUDIO, DY STUDIO",DY STUDIO,,1,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3782,1141380,Ladies Orders,Blue Sky Games,Blue Sky Games,,2,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3783,928520,Story of Eve - A Hero's Study,SmallSqurriel,Mango Party,99,66,10,87,"0 .. 20,000",75,0,75,0,299,299,0,0
3784,371120,Discouraged Workers,YGGDRASIL STUDIO,YGGDRASIL STUDIO,98,61,38,59,"0 .. 20,000",0,0,0,0,199,799,75,0
3785,1409350,Brushlings Pale Moon,"Benjamin Boese, Zephyrus Mckinnon, David Clark",Soka Game Design,,0,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3786,1592900,PrisonShow,Esra ÖZTÜRK,Esra ÖZTÜRK,,0,1,0,"0 .. 20,000",0,0,0,0,500,500,0,0
3787,1546830,Tiani,Ken Langella,Ken Langella,,2,1,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
3788,1819780,Vampire Combat,Gamma Ray Chamber,Gamma Ray Chamber,,2,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3789,1688250,PRINCESS IN AIRINESS,Broken Desk,Broken Desk,,3,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
3790,1555130,Where Wind Becomes Quiet,Mike T.,Mike T.,,17,17,0,"0 .. 20,000",0,0,0,0,0,0,0,0
3791,2231610,Secret Dimension,Half Slice Studio,Half Slice Studio,,1,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
3792,2599900,Whispers In Paradise,Cryobolt Interactive,Cryobolt Interactive,,12,0,0,"0 .. 20,000",0,0,0,0,109,199,45,0
3793,2109440,Vajont VR,Artheria,Artheria,,6,2,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3794,1167460,Hero Hours Contract,Steve O'Gorman,Steve O'Gorman,,15,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
3795,1787640,Kings and Pigs Prequel,Piece Of Voxel,Piece Of Voxel,,12,7,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3796,1577900,Contact Me,NineStarWorks,NineStarWorks,,7,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
3797,1981370,Down the Drain,Cubicorn Games,Cubicorn Games,,6,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3798,492860,Aperion Cyberstorm,aPriori Digital,aPriori Digital,,1,0,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
3799,1797440,Cradle of Souls,Zenith Games,Aldorlea Games,,0,2,0,"0 .. 20,000",0,0,0,0,699,699,0,0
3800,511320,Echoes of the Fey: The Fox's Trail,Woodsy Studio,Woodsy Studio,,22,4,0,"0 .. 20,000",0,0,0,0,799,799,0,0
3801,1962540,Still Heroes,exaheva,"exaheva, Plug In Digital",,36,6,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3802,1639690,Flowering Across 樱下花期,凝冰剑斩,凝冰剑斩,,49,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3803,390210,FreezeME,Rainy Night Creations,Rainy Night Creations,,49,28,0,"0 .. 20,000",0,0,0,0,1399,1399,0,0
