,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
0,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1057022,178737,0,"20,000,000 .. 50,000,000",16113,583,3683,270,799,1999,60,94346
1,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,735618,14560,0,"20,000,000 .. 50,000,000",4052,107,911,17,399,399,0,121026
2,413150,Stardew Valley,ConcernedApe,ConcernedApe,,641066,11415,0,"20,000,000 .. 50,000,000",3514,1099,1068,146,1499,1499,0,39044
3,620,Portal 2,Valve,Valve,,378147,4878,0,"10,000,000 .. 20,000,000",1013,145,500,242,999,999,0,3512
4,1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,,168631,77385,0,"10,000,000 .. 20,000,000",6623,297,371,141,0,0,0,177901
5,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,505910,23853,0,"10,000,000 .. 20,000,000",1680,437,950,45,1999,1999,0,7098
6,400,Portal,Valve,Valve,,149517,2301,0,"10,000,000 .. 20,000,000",494,0,147,0,999,999,0,848
7,532210,Life is Strange 2,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,27085,4642,0,"10,000,000 .. 20,000,000",262,0,192,0,3196,3196,0,222
8,255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,234892,16915,0,"5,000,000 .. 10,000,000",4128,731,1028,582,2999,2999,0,12325
9,377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,,273473,56260,0,"5,000,000 .. 10,000,000",6101,377,2328,372,1999,1999,0,19809
10,1238810,Battlefield V,DICE,Electronic Arts,,139428,56940,0,"5,000,000 .. 10,000,000",5121,269,573,213,4999,4999,0,44123
11,370910,Kathy Rain,Clifftop Games,Raw Fury,,3367,281,0,"5,000,000 .. 10,000,000",1212,0,251,0,999,999,0,7
12,374320,DARK SOULS III,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",,351176,21313,0,"5,000,000 .. 10,000,000",4124,250,1468,295,5999,5999,0,10085
13,489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,,263570,25522,0,"5,000,000 .. 10,000,000",3561,184,587,275,3999,3999,0,27893
14,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46857,10800,0,"5,000,000 .. 10,000,000",1376,0,59,0,0,0,0,555
15,203160,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",,221464,8866,0,"5,000,000 .. 10,000,000",606,0,482,0,1499,1499,0,1001
16,582660,Black Desert,Pearl Abyss,Pearl Abyss,,57730,19198,0,"5,000,000 .. 10,000,000",4547,0,359,0,999,999,0,21249
17,883710,Resident Evil 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,145019,4660,0,"5,000,000 .. 10,000,000",955,0,762,0,3999,3999,0,1457
18,363970,Clicker Heroes,Playsaurus,Playsaurus,,53859,6115,0,"5,000,000 .. 10,000,000",11758,0,233,0,0,0,0,2826
19,319630,Life is Strange - Episode 1,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",,157160,6268,0,"5,000,000 .. 10,000,000",534,0,178,0,0,0,0,396
20,1426210,It Takes Two,Hazelight,Electronic Arts,,146846,7449,0,"5,000,000 .. 10,000,000",1069,52,886,74,3999,3999,0,14203
21,306130,The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,,116633,26049,0,"5,000,000 .. 10,000,000",7984,3,1405,3,1999,1999,0,18695
22,500,Left 4 Dead,Valve,Valve,,52144,2003,0,"5,000,000 .. 10,000,000",894,0,174,0,999,999,0,681
23,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,168878,7083,0,"5,000,000 .. 10,000,000",4933,439,2286,654,4499,4499,0,8238
24,424840,Little Nightmares,Tarsier Studios,BANDAI NAMCO Entertainment,,92887,5054,0,"5,000,000 .. 10,000,000",226,4,87,4,1999,1999,0,701
25,206420,Saints Row IV: Re-Elected,Deep Silver Volition,Deep Silver,,67683,8990,0,"2,000,000 .. 5,000,000",1087,0,766,0,1999,1999,0,211
26,55230,Saints Row: The Third,Volition,Deep Silver,,64655,2837,0,"2,000,000 .. 5,000,000",1508,0,747,0,999,999,0,264
27,391220,Rise of the Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes","Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)",,116597,7454,0,"2,000,000 .. 5,000,000",1825,11,736,11,2999,2999,0,1481
28,1225330,NBA 2K21,Visual Concepts,2K,,16317,22933,0,"2,000,000 .. 5,000,000",9678,0,5611,0,0,0,0,456
29,1056960,Wolfenstein: Youngblood,"Machine Games, Arkane Studios",Bethesda Softworks,,5803,7104,0,"2,000,000 .. 5,000,000",764,0,345,0,1999,1999,0,121
30,39210,FINAL FANTASY XIV Online,Square Enix,Square Enix,,63381,8306,0,"2,000,000 .. 5,000,000",18159,0,3208,0,1999,1999,0,27425
31,884660,CRSED: F.O.A.D.,Darkflow Software,Gaijin Network Ltd,,30087,8023,0,"2,000,000 .. 5,000,000",5946,0,45,0,0,0,0,211
32,261640,Borderlands: The Pre-Sequel,"2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)",,32159,7365,0,"2,000,000 .. 5,000,000",1787,0,855,0,999,3999,75,783
33,546560,Half-Life: Alyx,Valve,Valve,,85519,1409,0,"2,000,000 .. 5,000,000",849,16,377,20,5999,5999,0,657
34,552520,Far Cry 5,"Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",Ubisoft,,121614,29258,0,"2,000,000 .. 5,000,000",1636,120,1060,157,899,5999,85,5853
35,1832640,Mirror 2: Project X,KAGAMI Ⅱ WORKs,NIJICO,,29568,88360,0,"2,000,000 .. 5,000,000",383,0,204,0,199,199,0,26
36,389730,TEKKEN 7,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,74132,15209,0,"2,000,000 .. 5,000,000",1096,208,347,415,3999,3999,0,1911
37,9480,Saints Row 2,Volition,Deep Silver,,14590,4603,0,"2,000,000 .. 5,000,000",469,0,113,0,999,999,0,99
38,245170,Skullgirls 2nd Encore,Hidden Variable Studios,Autumn Games,,28378,10986,0,"2,000,000 .. 5,000,000",579,8,224,8,2499,2499,0,184
39,17410,Mirror's Edge,DICE,Electronic Arts,,31094,4442,0,"2,000,000 .. 5,000,000",227,0,68,0,1999,1999,0,69
40,307780,Mortal Kombat X,"NetherRealm Studios, QLOC","Warner Bros. Games, Warner Bros. Interactive Entertainment",,44703,8071,0,"2,000,000 .. 5,000,000",856,19,455,19,1999,1999,0,569
41,368230,Kingdom: Classic,"Noio, Licorice",Raw Fury,,19084,1978,0,"2,000,000 .. 5,000,000",307,0,149,0,0,0,0,97
42,247080,Crypt of the NecroDancer,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",,22606,947,0,"2,000,000 .. 5,000,000",322,0,166,0,1499,1499,0,144
43,403640,Dishonored 2,Arkane Studios,Bethesda Softworks,,51454,6367,0,"2,000,000 .. 5,000,000",2894,0,926,0,2999,2999,0,712
44,812140,Assassin's Creed Odyssey,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai",Ubisoft,,133889,16078,0,"2,000,000 .. 5,000,000",3955,650,2373,650,1199,5999,80,7777
45,475150,Titan Quest Anniversary Edition,"Iron Lore Entertainment, THQ Nordic",THQ Nordic,,29969,2896,0,"2,000,000 .. 5,000,000",842,0,197,0,1999,1999,0,1294
46,1158310,Crusader Kings III,Paradox Development Studio,Paradox Interactive,,94380,8363,0,"2,000,000 .. 5,000,000",22807,458,9831,207,4999,4999,0,20368
47,335300,DARK SOULS II: Scholar of the First Sin,"FromSoftware, Inc","Bandai Namco Entertainment, FromSoftware, Inc",,83147,14938,0,"2,000,000 .. 5,000,000",3806,519,2430,519,3999,3999,0,3268
48,214490,Alien: Isolation,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,49832,3780,0,"2,000,000 .. 5,000,000",664,0,636,0,3999,3999,0,234
49,845070,The Awesome Adventures of Captain Spirit,DONTNOD Entertainment,Square Enix,,12409,987,0,"2,000,000 .. 5,000,000",124,0,109,0,0,0,0,28
50,1222140,Detroit: Become Human,Quantic Dream,Quantic Dream,,101002,5575,0,"2,000,000 .. 5,000,000",695,1018,687,1018,3999,3999,0,1408
51,644560,Mirror,KAGAMI WORKS,Paradise Project,,80419,2554,0,"2,000,000 .. 5,000,000",483,0,391,0,199,199,0,151
52,367500,Dragon's Dogma: Dark Arisen,Capcom,Capcom,,35679,4390,0,"2,000,000 .. 5,000,000",2358,1652,1374,1652,2999,2999,0,2341
53,201790,Orcs Must Die! 2,Robot Entertainment,Robot Entertainment,,17492,1236,0,"2,000,000 .. 5,000,000",784,0,208,0,1499,1499,0,78
54,221040,Resident Evil 6,Capcom,Capcom,,37405,10096,0,"2,000,000 .. 5,000,000",981,34,897,34,1999,1999,0,657
55,992300,嗜血印 Bloody Spell,艺龙游戏,艺龙游戏,,28265,3434,0,"2,000,000 .. 5,000,000",513,0,304,0,2499,2499,0,103
56,427730,Who's Your Daddy?!,Evil Tortilla Games,Evil Tortilla Games,,22460,5674,0,"2,000,000 .. 5,000,000",368,0,122,0,999,999,0,131
57,305620,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,,93550,9202,0,"2,000,000 .. 5,000,000",1090,164,406,164,1999,1999,0,2801
58,841370,NBA 2K19,Visual Concepts,2K,,8907,13889,0,"2,000,000 .. 5,000,000",9510,0,9578,0,0,0,0,346
59,431240,Golf With Your Friends,"Blacklight Interactive, Team17",Team17,,54174,6989,0,"2,000,000 .. 5,000,000",700,51,381,64,1499,1499,0,1748
60,310950,Street Fighter V,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,28670,14127,0,"2,000,000 .. 5,000,000",1871,81,667,107,1999,1999,0,283
61,504230,Celeste,"Maddy Makes Games Inc., Extremely OK Games, Ltd.",Maddy Makes Games Inc.,,86948,2101,0,"2,000,000 .. 5,000,000",1484,0,898,0,1999,1999,0,1774
62,35700,Trine Enchanted Edition,Frozenbyte,Frozenbyte,,14024,604,0,"2,000,000 .. 5,000,000",275,0,156,0,1499,1499,0,51
63,210770,Sanctum 2,Coffee Stain Studios,Coffee Stain Publishing,,12671,1413,0,"2,000,000 .. 5,000,000",239,0,195,0,299,1499,80,65
64,1520470,封灵档案,（Hong Kong）GKD,（Hong Kong）GKD,,18298,4113,0,"2,000,000 .. 5,000,000",26,0,22,0,0,0,0,797
65,261570,Ori and the Blind Forest,Moon Studios GmbH,Xbox Game Studios,,50964,2747,0,"2,000,000 .. 5,000,000",2644,607,163,607,0,0,0,384
66,268420,Aura Kingdom,X-Legend,Aeria Games,,6754,1885,0,"2,000,000 .. 5,000,000",163,0,54,0,0,0,0,0
67,524220,NieR:Automata,"Square Enix, PlatinumGames Inc.",Square Enix,,107735,17036,0,"2,000,000 .. 5,000,000",1568,398,878,487,3999,3999,0,980
68,470220,UNO,Ubisoft Entertainment,Ubisoft Entertainment,,34952,12884,0,"2,000,000 .. 5,000,000",442,0,238,0,399,999,60,844
69,19680,Alice: Madness Returns,Spicy Horse Games,Electronic Arts,,14055,1660,0,"2,000,000 .. 5,000,000",420,0,238,0,1999,1999,0,251
70,774171,Muse Dash,peropero,hasuhasu,,95071,11740,0,"2,000,000 .. 5,000,000",629,107,247,127,299,299,0,1700
71,414340,Hellblade: Senua's Sacrifice,Ninja Theory,Ninja Theory,,57368,5891,0,"2,000,000 .. 5,000,000",425,0,494,0,2999,2999,0,320
72,640820,Pathfinder: Kingmaker - Enhanced Plus Edition,Owlcat Games,Prime Matter,,24665,6929,0,"2,000,000 .. 5,000,000",2081,0,1263,0,399,1999,80,1105
73,740130,Tales of Arise,Bandai Namco Studios Inc.,Bandai Namco Entertainment,,28434,3614,0,"2,000,000 .. 5,000,000",2282,0,3335,0,3959,5999,34,1321
74,433340,Slime Rancher,Monomi Park,Monomi Park,,114769,2429,0,"2,000,000 .. 5,000,000",1090,0,863,0,1999,1999,0,1297
75,630100,SoulWorker - Anime Action MMO,"Lion Games Co., Ltd.",Gameforge 4D GmbH,,11324,2941,0,"2,000,000 .. 5,000,000",388,0,176,0,0,0,0,0
76,47890,The Sims 3,The Sims Studio,Electronic Arts,,26539,4015,0,"2,000,000 .. 5,000,000",2434,0,539,0,1999,1999,0,2144
77,952060,Resident Evil 3,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,63547,15375,0,"2,000,000 .. 5,000,000",614,0,473,0,3999,3999,0,534
78,554620,Life is Strange: Before the Storm,"Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,34069,2451,0,"2,000,000 .. 5,000,000",574,0,357,0,1699,1699,0,77
79,234650,Shadowrun Returns,Harebrained Schemes,Paradox Interactive,,11512,1485,0,"2,000,000 .. 5,000,000",443,0,224,0,1499,1499,0,15
80,287290,Resident Evil Revelations 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,20155,5784,0,"1,000,000 .. 2,000,000",620,0,137,0,599,599,0,168
81,21690,Resident Evil 5,Capcom,Capcom,,35214,5646,0,"1,000,000 .. 2,000,000",1170,0,962,0,1999,1999,0,704
82,629520,Soundpad,Leppsoft,Leppsoft,,63444,2549,0,"1,000,000 .. 2,000,000",40513,3772,2010,7205,499,499,0,19812
83,206440,To the Moon,Freebird Games,Freebird Games,,70182,2634,0,"1,000,000 .. 2,000,000",219,0,250,0,999,999,0,119
84,750920,Shadow of the Tomb Raider: Definitive Edition,"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)",,59411,11243,0,"1,000,000 .. 2,000,000",1440,165,1165,165,0,0,0,1145
85,32370,STAR WARS Knights of the Old Republic,"BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney, Lucasfilm",,26805,2621,0,"1,000,000 .. 2,000,000",848,0,154,0,999,999,0,286
86,680420,OUTRIDERS,People Can Fly,Square Enix,,39402,20217,0,"1,000,000 .. 2,000,000",2034,0,1690,0,1999,1999,0,440
87,606280,Darksiders III,Gunfire Games,THQ Nordic,,10636,3318,0,"1,000,000 .. 2,000,000",463,172,276,172,3999,3999,0,90
88,1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,Owlcat Games,"META Publishing, Owlcat Games",,26502,5299,0,"1,000,000 .. 2,000,000",923,0,597,0,3999,3999,0,2577
89,368500,Assassin's Creed Syndicate,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,,21404,5251,0,"1,000,000 .. 2,000,000",1630,0,1455,0,749,2999,75,595
90,228280,Baldur's Gate: Enhanced Edition,Beamdog,Beamdog,,13661,1206,0,"1,000,000 .. 2,000,000",3646,0,591,0,1999,1999,0,747
91,24980,Mass Effect 2 (2010 Edition),BioWare,Electronic Arts,,14631,909,0,"1,000,000 .. 2,000,000",1442,0,1502,0,0,0,0,21
92,13520,Far Cry,Crytek Studios,Ubisoft,,7070,1526,0,"1,000,000 .. 2,000,000",361,0,200,0,299,999,70,174
93,476600,Call of Duty: WWII,"Sledgehammer Games, Raven Software",Activision,,27170,12663,0,"1,000,000 .. 2,000,000",460,0,339,0,5999,5999,0,445
94,2186680,"Warhammer 40,000: Rogue Trader",Owlcat Games,Owlcat Games,,10454,3187,0,"1,000,000 .. 2,000,000",3240,0,4140,0,4999,4999,0,4831
95,1313860,EA SPORTS FIFA 21,EA Canada,Electronic Arts,,43404,13526,0,"1,000,000 .. 2,000,000",8388,0,7576,0,0,0,0,400
96,683320,GRIS,Nomada Studio,Devolver Digital,,66403,2363,0,"1,000,000 .. 2,000,000",195,0,190,0,1499,1499,0,82
97,304240,Resident Evil,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,20850,1912,0,"1,000,000 .. 2,000,000",595,0,192,0,1999,1999,0,267
98,253980,Enclave,Starbreeze,Topware Interactive,,4959,1301,0,"1,000,000 .. 2,000,000",196,0,215,0,999,999,0,9
99,939960,Far Cry New Dawn,"Ubisoft Montreal, Ubisoft Kiev, Ubisoft Shanghai",Ubisoft,,21183,6543,0,"1,000,000 .. 2,000,000",1138,1607,1084,1607,799,3999,80,882
100,237930,Transistor,Supergiant Games,Supergiant Games,,28122,1721,0,"1,000,000 .. 2,000,000",153,0,93,0,1999,1999,0,31
101,207230,ArcheBlade,CodeBrush Games,Codebrush Games,,5617,2063,0,"1,000,000 .. 2,000,000",870,0,128,0,0,0,0,3
102,41500,Torchlight,Runic Games,Gearbox Publishing,,5973,575,0,"1,000,000 .. 2,000,000",463,0,225,0,1499,1499,0,61
103,460790,Bayonetta,PlatinumGames,SEGA,,23729,1924,0,"1,000,000 .. 2,000,000",613,0,214,0,1999,1999,0,172
104,459820,Crush Crush,Sad Panda Studios,Sad Panda Studios,,22578,2559,0,"1,000,000 .. 2,000,000",1611,0,2416,0,0,0,0,1197
105,17460,Mass Effect (2007),BioWare,Electronic Arts,,15199,1021,0,"1,000,000 .. 2,000,000",838,0,524,0,2999,2999,0,27
106,102500,Kingdoms of Amalur: Reckoning,"Big Huge Games, 38 Studios","38 Studios, Electronic Arts",,11308,1529,0,"1,000,000 .. 2,000,000",844,0,260,0,0,0,0,57
107,474960,Quantum Break,Remedy Entertainment,Xbox Game Studios,,22041,3741,0,"1,000,000 .. 2,000,000",541,0,460,0,3999,3999,0,96
108,32800,Lord of the Rings: War in the North,Snowblind Studios,Warner Bros. Interactive Entertainment,,7360,1748,0,"1,000,000 .. 2,000,000",316,0,120,0,0,0,0,32
109,96100,Defy Gravity Extended,Paul Fisch,Fish Factory Games,,7393,1198,0,"1,000,000 .. 2,000,000",72,0,30,0,199,199,0,1
110,235540,Warhammer: End Times - Vermintide,Fatshark,Fatshark,,16442,4082,0,"1,000,000 .. 2,000,000",715,0,332,0,2999,2999,0,61
111,47810,Dragon Age: Origins - Ultimate Edition,BioWare,Electronic Arts,,20183,2493,0,"1,000,000 .. 2,000,000",1228,0,549,0,2999,2999,0,798
112,752590,A Plague Tale: Innocence,Asobo Studio,Focus Entertainment,,53410,3722,0,"1,000,000 .. 2,000,000",429,157,611,157,799,3999,80,317
113,1353950,Ring of Fire: Prologue,"de Fault, Chard",Far Few Giants,,14,2,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,0
114,220440,DmC: Devil May Cry,Ninja Theory,Capcom,,25224,1856,0,"1,000,000 .. 2,000,000",414,0,195,0,2999,2999,0,94
115,870780,Control Ultimate Edition,Remedy Entertainment,505 Games,,37568,5282,0,"1,000,000 .. 2,000,000",1116,3,610,3,3999,3999,0,730
116,1238000,Mass Effect: Andromeda Deluxe Edition,BioWare,Electronic Arts,,10489,3367,0,"1,000,000 .. 2,000,000",1980,0,830,0,3999,3999,0,769
117,2322560,Love Is All Around,intiny,intiny,,39640,2318,0,"1,000,000 .. 2,000,000",366,278,302,555,999,999,0,1874
118,301640,Zombie Army Trilogy,Rebellion,Rebellion,,14409,2132,0,"1,000,000 .. 2,000,000",479,0,284,0,4499,4499,0,99
119,955050,Bright Memory,FYQD-Studio,"FYQD-Studio, PLAYISM",,29441,2883,0,"1,000,000 .. 2,000,000",135,0,51,0,799,799,0,12
120,1178830,Bright Memory: Infinite,FYQD-Studio,"FYQD-Studio, PLAYISM",,33872,2829,0,"1,000,000 .. 2,000,000",65,0,35,0,1999,1999,0,90
121,480490,Prey,Arkane Studios,Bethesda Softworks,,42076,4295,0,"1,000,000 .. 2,000,000",1044,0,509,0,2999,2999,0,452
122,226840,Age of Wonders III,Triumph Studios,Paradox Interactive,,9797,2383,0,"1,000,000 .. 2,000,000",403,0,82,0,2999,2999,0,363
123,899440,GOD EATER 3,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,6804,1639,0,"1,000,000 .. 2,000,000",927,0,751,0,5999,5999,0,1270
124,1151640,Horizon Zero Dawn Complete Edition,Guerrilla,PlayStation PC LLC,,96674,13101,0,"1,000,000 .. 2,000,000",1788,637,715,637,4999,4999,0,4090
125,1061910,Metal: Hellsinger,The Outsiders,Funcom,,12465,443,0,"1,000,000 .. 2,000,000",268,32,306,32,2999,2999,0,94
126,230230,Divinity: Original Sin (Classic),Larian Studios,Larian Studios,,10724,971,0,"1,000,000 .. 2,000,000",655,0,188,0,3999,3999,0,50
127,383080,Sakura Clicker,Winged Cloud,Winged Cloud,,12334,2413,0,"1,000,000 .. 2,000,000",1272,0,54,0,0,0,0,70
128,673950,Farm Together,Milkstone Studios,Milkstone Studios,,19686,1208,0,"1,000,000 .. 2,000,000",1430,0,723,0,1999,1999,0,986
129,447020,Farming Simulator 17,GIANTS Software,GIANTS Software,,22144,1558,0,"1,000,000 .. 2,000,000",5588,0,2039,0,1499,1499,0,743
130,278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,10443,1953,0,"1,000,000 .. 2,000,000",975,11,848,11,4999,4999,0,670
131,1335200,Action Taimanin,LiLith,Infini-Brain inc.,,14367,2856,0,"1,000,000 .. 2,000,000",59,0,50,0,0,0,0,1133
132,261030,The Walking Dead: Season Two,Telltale Games,Skybound Games,,28171,1068,0,"1,000,000 .. 2,000,000",531,729,558,729,1499,1499,0,86
133,692850,Bloodstained: Ritual of the Night,ArtPlay,505 Games,,34428,2076,0,"1,000,000 .. 2,000,000",1111,0,982,0,3999,3999,0,391
134,6020,STAR WARS Jedi Knight - Jedi Academy,Raven Software,"LucasArts, Lucasfilm, Disney",,12101,493,0,"1,000,000 .. 2,000,000",479,0,125,0,999,999,0,135
135,2208920,Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,,13603,5846,0,"1,000,000 .. 2,000,000",490,0,322,0,1499,5999,75,4973
136,368370,Her Story,Sam Barlow,Sam Barlow,,7967,923,0,"1,000,000 .. 2,000,000",233,0,248,0,999,999,0,15
137,382490,Relic Hunters Zero: Remix,Rogue Snail,Akupara Games,,6342,451,0,"1,000,000 .. 2,000,000",332,0,315,0,0,0,0,8
138,329050,Devil May Cry 4 Special Edition,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd. ",,13352,1585,0,"1,000,000 .. 2,000,000",306,0,269,0,2499,2499,0,150
139,383150,Dead Island Definitive Edition,Techland,Deep Silver,,18503,4112,0,"1,000,000 .. 2,000,000",375,19,144,19,1999,1999,0,806
140,429470,Space Pilgrim Episode I: Alpha Centauri,"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, TheGamesFortress",,1059,140,0,"1,000,000 .. 2,000,000",139,0,142,0,0,0,0,1
141,250820,SteamVR,Valve,22cans Ltd.,,47638,5723,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,0
142,208580,STAR WARS Knights of the Old Republic II - The Sith Lords,"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Lucasfilm, Aspyr (Mac, Linux)",,21157,1433,0,"1,000,000 .. 2,000,000",862,0,298,0,999,999,0,429
143,210970,The Witness,"Thekla, Inc.","Thekla, Inc.",,14194,2479,0,"1,000,000 .. 2,000,000",1037,37,588,37,3999,3999,0,257
144,1262350,SIGNALIS,rose-engine,"Humble Games, PLAYISM",,14327,449,0,"1,000,000 .. 2,000,000",88,0,88,0,1999,1999,0,186
145,614570,Dishonored: Death of the Outsider,Arkane Studios,Bethesda Softworks,,9774,1377,0,"1,000,000 .. 2,000,000",407,0,387,0,2999,2999,0,101
146,560130,Pillars of Eternity II: Deadfire,Obsidian Entertainment,"Versus Evil, Obsidian Entertainment",,15317,2116,0,"1,000,000 .. 2,000,000",537,0,225,0,3999,3999,0,447
147,1173690,Resident Evil 3: Raccoon City Demo,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,9024,1069,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,19
148,57900,Duke Nukem Forever,Gearbox Software,2K,,6964,3189,0,"1,000,000 .. 2,000,000",187,0,73,0,399,1999,80,99
149,1418100,Swords of Legends Online,"Wangyuan Shengtang Entertainment Technology CO., 上海烛龙信息科技有限公司",Gameforge 4D GmbH,,3895,1946,0,"1,000,000 .. 2,000,000",561,0,792,0,0,0,0,0
150,481510,Night in the Woods,Infinite Fall,Finji,,15588,998,0,"1,000,000 .. 2,000,000",426,0,522,0,1999,1999,0,95
151,429660,Tales of Berseria,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,15782,1379,0,"1,000,000 .. 2,000,000",1288,0,919,0,4999,4999,0,245
152,243970,"Invisible, Inc.",Klei Entertainment,Klei Entertainment,,4947,449,0,"1,000,000 .. 2,000,000",156,0,96,0,1999,1999,0,26
153,731490,Crash Bandicoot N. Sane Trilogy,"Vicarious Visions, Iron Galaxy",Activision,,15059,1183,0,"1,000,000 .. 2,000,000",748,35,363,35,3999,3999,0,291
154,1328670,Mass Effect Legendary Edition,BioWare,Electronic Arts,,39520,3768,0,"1,000,000 .. 2,000,000",2433,1691,661,2516,5999,5999,0,4691
155,553640,ICEY,FantaBlade Network,XD,,22947,2422,0,"1,000,000 .. 2,000,000",404,0,322,0,1099,1099,0,51
156,1041720,Kingdoms of Amalur: Re-Reckoning,"KAIKO, Big Huge Games, 38 Studios",THQ Nordic,,4643,1490,0,"1,000,000 .. 2,000,000",128,0,177,0,3999,3999,0,229
157,611670,The Elder Scrolls V: Skyrim VR,Bethesda Game Studios,Bethesda Softworks,,7759,2549,0,"1,000,000 .. 2,000,000",612,0,424,0,5999,5999,0,383
158,362960,Tyranny,Obsidian Entertainment,Paradox Interactive,,10475,1582,0,"1,000,000 .. 2,000,000",1853,349,1304,349,2999,2999,0,85
159,517630,Just Cause 4 Reloaded,Avalanche Studios,Square Enix,,16629,10409,0,"1,000,000 .. 2,000,000",771,0,322,0,6903,6903,0,346
160,595520,FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,,6632,724,0,"1,000,000 .. 2,000,000",157,0,251,0,4999,4999,0,471
161,1930,Two Worlds Epic Edition,Reality Pump Studios,Topware Interactive,,4101,1277,0,"1,000,000 .. 2,000,000",369,0,415,0,1499,1499,0,36
162,972660,Spiritfarer: Farewell Edition,Thunder Lotus Games,Thunder Lotus Games,,34943,1604,0,"1,000,000 .. 2,000,000",1008,637,892,637,2999,2999,0,635
163,339800,HuniePop,HuniePot,HuniePot,,26390,1002,0,"1,000,000 .. 2,000,000",597,0,627,0,999,999,0,148
164,205950,Jet Set Radio,Blit Software,SEGA,,6610,912,0,"1,000,000 .. 2,000,000",286,0,19,0,799,799,0,23
165,666140,My Time at Portia,Pathea Games,Focus Entertainment,,38416,3312,0,"1,000,000 .. 2,000,000",1125,0,769,0,2999,2999,0,859
166,1007040,EARTH DEFENSE FORCE 5,SANDLOT,D3PUBLISHER,,8869,495,0,"1,000,000 .. 2,000,000",1330,910,1147,910,1799,5999,70,1305
167,282800,100% Orange Juice,Orange_Juice,Fruitbat Factory,,23265,1848,0,"1,000,000 .. 2,000,000",414,0,61,0,699,699,0,238
